meme_id1,text1,meme_id2,min duplication coef.,max no-duplication coef.,all&only duplications above similarity coef?
278184,{ПЕШЕ ШДШШШПВШШШШМЕРШЦПЫТЕ ПШО[РШООРЯР,292371,0.25,0.11,yes
287536,вПатШД Уолтер; Сегоднчя: 00.35 УКагоба Уолтер красавецШПикман идиотшдля тупых спрсс рождает предложениешпоэтому к варке нет никаких предъяв от таго чта не было бы варщиков нариков меньше не стало бы еще раз спрос рождает предпожение есть сперва нарики потом появились варщики Ответить,"293,928",>= 0.66,0.17,yes
309469,наш мудрый правитель их гнусные черти наши светлые ангелы ИХ коварный тиран наш священный дракон их зловонный ящер,329196,1,0.15,yes
341021,"КОГДА ВАМ 20, вы выдаёте много кринжа КОГДА ВАМ 30, вы выдаёте много базы КОГДА ВАМ 60, можно сраться в штаны и не париться. УИНСТОН ЧЕРЧИЛЛЬ",319122,1,0.15,yes
342458,СПАСИБО ЗА ЕЩЁ ОДИН ДЕНЬ БЕЗ ЯДЕРНОЙ КАТАСТРОФЫ ГОСПОДИ ПОМИЛУЙ НАС ГРЕШНЫХ,"294,161",1,0.15,yes
334284,ИННОВАЦИОННАЯ ШКО^Л ФГОС ИСТОРИЯ КОНЕЦ XIX НАЧАЛО XXI BEKA = Ill 10-11 ЧАСТЬ Il 6 ФРУССКОЕ СЛОВО,309484,0.56,0.12,yes
308087,Целовать? Мне бы куни; Уж очень сильно заколдована,236493,0.83(1),0.16,yes
"266327 ",Хамам для крякающих спонтанно появился на улице в Костроме,365999,1,0.16,yes
323596,ijust need to get Ahurger i just need to get Hhumger 6 Are u okay bro? yes l jusr necd rо get Ahlrger get Hhurger get AmUIgeI get Hhumer,306665,0.34,0.15,yes
283673,ЗЛЛЯ И ХИТРЛЯ СОБИКЯ,319115,0.54,0.092,yes
67753,fniitmemeshal &Л4 IlIMNI ШI,67739,,,no
153631,Do not let the sadness of the swanmp @ftmemeskat get to you: You have to try: You are my dude and it is Wednesday,41023,1,0.3,yes